縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
10010,嘉義縣,10010050,民雄鄉,103.7,2.63,818.83,40.93,13.64,27.28,199.96,113Y06M
10010,嘉義縣,10010060,溪口鄉,115.14,2.52,396.02,50.98,9.77,41.21,421.72,113Y06M
10010,嘉義縣,10010070,新港鄉,111.61,2.74,452.37,47.73,12.85,34.87,271.27,113Y06M
10010,嘉義縣,10010080,六腳鄉,113.99,2.42,331.84,53.65,8.37,45.28,541.24,113Y06M
10010,嘉義縣,10010090,東石鄉,112.59,2.54,275.81,46.42,8.81,37.61,426.88,113Y06M
10010,嘉義縣,10010100,義竹鄉,109.55,2.35,207.01,54.51,9.29,45.22,486.73,113Y06M
10010,嘉義縣,10010110,鹿草鄉,117.72,2.44,258.07,55.61,9.68,45.93,474.43,113Y06M
10010,嘉義縣,10010120,水上鄉,106.6,2.52,687.31,39.88,9.89,29.99,303.13,113Y06M
10010,嘉義縣,10010130,中埔鄉,107.29,2.6,327.3,42.91,11.31,31.6,279.34,113Y06M
10010,嘉義縣,10010140,竹崎鄉,113.44,2.81,203.9,48,11.84,36.16,305.29,113Y06M
10010,嘉義縣,10010150,梅山鄉,113.05,2.61,147.73,53.12,11.55,41.58,360.12,113Y06M
10010,嘉義縣,10010160,番路鄉,114.63,2.52,91.6,45.53,9.98,35.55,356.37,113Y06M
10010,嘉義縣,10010170,大埔鄉,102.35,2.31,25.31,41.82,11.16,30.66,274.78,113Y06M
10010,嘉義縣,10010180,阿里山鄉,108.01,2.85,12.32,43.47,15.65,27.82,177.74,113Y06M
10013,屏東縣,10013010,屏東市,95.76,2.51,2970.32,45.23,16.69,28.53,170.92,113Y06M
10013,屏東縣,10013020,潮州鎮,97.54,2.54,1260.57,42.14,14.42,27.72,192.24,113Y06M
10013,屏東縣,10013030,東港鎮,100.39,2.58,1560.1,42.03,17.1,24.93,145.83,113Y06M
10013,屏東縣,10013040,恆春鎮,102.79,2.45,216.15,41.05,16.45,24.6,149.51,113Y06M
10013,屏東縣,10013050,萬丹鄉,106.24,3.02,855,42.77,14.75,28.02,189.94,113Y06M
10013,屏東縣,10013060,長治鄉,105.83,2.68,733.29,41.79,11.93,29.87,250.45,113Y06M
10013,屏東縣,10013070,麟洛鄉,104.53,2.56,644.4,47.12,9.34,37.78,404.66,113Y06M
10013,屏東縣,10013080,九如鄉,104.28,2.83,514.7,40.86,12.98,27.88,214.75,113Y06M
10013,屏東縣,10013090,里港鄉,101.39,2.97,369.87,45.99,17.15,28.85,168.24,113Y06M
10013,屏東縣,10013100,鹽埔鄉,107.88,2.93,368.3,41.63,11.98,29.65,247.6,113Y06M
10013,屏東縣,10013110,高樹鄉,111.43,2.49,250,52.72,11.16,41.56,372.37,113Y06M
10013,屏東縣,10013120,萬巒鄉,109.36,2.86,314.5,49.32,13.92,35.4,254.24,113Y06M
10013,屏東縣,10013130,內埔鄉,104.53,2.65,642.47,43.6,12.48,31.12,249.31,113Y06M
10013,屏東縣,10013140,竹田鄉,113.08,2.75,540.74,46.88,9.78,37.1,379.27,113Y06M
10013,屏東縣,10013150,新埤鄉,111.13,2.66,156.57,47.42,9.54,37.88,396.99,113Y06M
10013,屏東縣,10013160,枋寮鄉,106.63,2.59,392.8,48.27,12.83,35.44,276.11,113Y06M
10013,屏東縣,10013170,新園鄉,107.38,2.7,846,39.09,9.93,29.15,293.43,113Y06M
10013,屏東縣,10013180,崁頂鄉,100.43,3.22,479.31,60.74,29.66,31.08,104.81,113Y06M
10013,屏東縣,10013190,林邊鄉,103.69,2.48,1042.74,49.9,12.27,37.63,306.83,113Y06M
10013,屏東縣,10013200,南州鄉,104.22,2.56,515.55,47.78,9.23,38.55,417.51,113Y06M
10013,屏東縣,10013210,佳冬鄉,106,2.55,572.23,47.31,11.12,36.19,325.56,113Y06M
10013,屏東縣,10013220,琉球鄉,117.57,2.44,1802.46,39.75,11.66,28.09,240.86,113Y06M
10013,屏東縣,10013230,車城鄉,115.24,2.26,159.79,47.25,10.89,36.36,333.96,113Y06M
10013,屏東縣,10013240,滿州鄉,118.18,2.38,50.14,40.38,8.76,31.62,360.9,113Y06M
10013,屏東縣,10013250,枋山鄉,107.79,2.49,288.66,38.86,8.8,30.06,341.46,113Y06M
10013,屏東縣,10013260,三地門鄉,99.22,3.16,39.22,37.76,17.72,20.03,113.02,113Y06M
10013,屏東縣,10013270,霧臺鄉,103.81,2.93,11.69,37.11,13.59,23.52,173.07,113Y06M
10013,屏東縣,10013280,瑪家鄉,100.84,3.07,85.08,35.88,16.34,19.54,119.63,113Y06M
10013,屏東縣,10013290,泰武鄉,105.1,3.5,44.4,38.64,20.69,17.95,86.77,113Y06M
10013,屏東縣,10013300,來義鄉,98.89,3.16,43.81,38.62,19.12,19.5,101.97,113Y06M
10013,屏東縣,10013310,春日鄉,102.66,3.26,30.52,42.02,21.02,20.99,99.86,113Y06M
10013,屏東縣,10013320,獅子鄉,105.58,2.89,15.79,35.64,13.44,22.2,165.18,113Y06M
10013,屏東縣,10013330,牡丹鄉,99.45,2.31,25.95,39.24,14.93,24.31,162.85,113Y06M
10014,臺東縣,10014010,臺東市,97.42,2.49,940.66,45.43,18.53,26.9,145.21,113Y06M
10014,臺東縣,10014020,成功鎮,110.87,2.41,90.23,47.33,11.56,35.78,309.62,113Y06M
10014,臺東縣,10014030,關山鎮,105.96,2.52,136.48,51.96,16.06,35.91,223.61,113Y06M
10014,臺東縣,10014040,卑南鄉,109.76,2.4,40.01,41.18,12.06,29.11,241.32,113Y06M
10014,臺東縣,10014050,鹿野鄉,110.85,2.37,79.27,45.4,9.57,35.83,374.36,113Y06M
10014,臺東縣,10014060,池上鄉,104.97,2.47,93.68,52.6,14.03,38.57,275,113Y06M
10014,臺東縣,10014070,東河鄉,118.83,2.17,37.44,49.71,9.55,40.16,420.52,113Y06M
10014,臺東縣,10014080,長濱鄉,125.56,2.29,42.43,50.8,9.18,41.62,453.12,113Y06M
10014,臺東縣,10014090,太麻里鄉,111.63,2.19,109.79,44.39,11.99,32.4,270.26,113Y06M
10014,臺東縣,10014100,大武鄉,110.97,2.23,79.54,41.53,13.66,27.87,203.95,113Y06M
10014,臺東縣,10014110,綠島鄉,115.93,3.46,290.02,28.13,10.8,17.33,160.43,113Y06M
10014,臺東縣,10014120,海端鄉,110.57,3.88,4.87,36.31,22.12,14.19,64.17,113Y06M
10014,臺東縣,10014130,延平鄉,108.07,3.31,7.8,34.26,19.96,14.3,71.64,113Y06M
10014,臺東縣,10014140,金峰鄉,100.92,3.04,9.74,36.46,18.87,17.59,93.18,113Y06M
10014,臺東縣,10014150,達仁鄉,116.34,2.38,11.1,35.69,13.72,21.97,160.17,113Y06M
10014,臺東縣,10014160,蘭嶼鄉,101.07,2.64,108.87,29.82,17.25,12.57,72.86,113Y06M
10015,花蓮縣,10015010,花蓮市,91.53,2.34,3353.95,49.44,20.37,29.07,142.69,113Y06M
10015,花蓮縣,10015020,鳳林鎮,107.28,2.4,85.96,60.97,15.46,45.51,294.37,113Y06M
10015,花蓮縣,10015030,玉里鎮,110.08,2.47,86.51,49.9,13.83,36.08,260.87,113Y06M
10015,花蓮縣,10015040,新城鄉,101.88,2.41,689.61,38.89,14.8,24.09,162.8,113Y06M
10015,花蓮縣,10015050,吉安鄉,98.8,2.46,1272.01,40.27,13.15,27.11,206.13,113Y06M
10015,花蓮縣,10015060,壽豐鄉,112.5,2.27,77.06,46.87,12.17,34.7,285.09,113Y06M
10015,花蓮縣,10015070,光復鄉,112.12,2.36,73.77,53.84,11.76,42.08,357.79,113Y06M
10015,花蓮縣,10015080,豐濱鄉,126.95,2.48,25.67,48.68,10.66,38.02,356.52,113Y06M
10015,花蓮縣,10015090,瑞穗鄉,114.43,2.26,78.58,53.18,12.64,40.54,320.82,113Y06M
10015,花蓮縣,10015100,富里鄉,115.19,2.39,54.14,52.89,12.89,40,310.31,113Y06M
10015,花蓮縣,10015110,秀林鄉,103.85,3.24,10.39,36.87,21.38,15.5,72.5,113Y06M
10015,花蓮縣,10015120,萬榮鄉,109.38,2.86,9.82,33.69,17.57,16.12,91.73,113Y06M
10015,花蓮縣,10015130,卓溪鄉,117.72,3.44,5.81,37.77,21.22,16.55,78.01,113Y06M
10016,澎湖縣,10016010,馬公市,102.8,2.42,1879.16,39.87,14.84,25.03,168.65,113Y06M
10016,澎湖縣,10016020,湖西鄉,109.43,2.46,484.13,38.71,11.49,27.22,237,113Y06M
10016,澎湖縣,10016030,白沙鄉,105.21,2.75,502.3,42.41,12.35,30.06,243.43,113Y06M
10016,澎湖縣,10016040,西嶼鄉,104.79,2.63,441.2,48.86,11.66,37.19,318.86,113Y06M
10016,澎湖縣,10016050,望安鄉,117.45,2.65,393.33,45.37,10.86,34.51,317.78,113Y06M
10016,澎湖縣,10016060,七美鄉,104.75,2.56,560.91,40.82,11.71,29.11,248.47,113Y06M
10017,基隆市,10017010,中正區,101.64,2.13,6674.29,43,10.99,32.01,291.26,113Y06M
10017,基隆市,10017020,七堵區,99.62,2.34,935.54,42.12,14,28.12,200.87,113Y06M
10017,基隆市,10017030,暖暖區,99.17,2.32,1683.92,39.69,14.15,25.54,180.41,113Y06M
10017,基隆市,10017040,仁愛區,96.18,2.16,9660.33,58.42,20.96,37.46,178.76,113Y06M
10017,基隆市,10017050,中山區,102,2.27,3321.2,40.96,10.85,30.11,277.39,113Y06M
10017,基隆市,10017060,安樂區,96.68,2.31,4449.04,42.01,14.15,27.87,197.01,113Y06M
10017,基隆市,10017070,信義區,96.82,2.27,4748.16,42.87,12.87,30,233.01,113Y06M
10018,新竹市,10018010,東區,97.36,2.54,24168.65,49.02,28.35,20.67,72.93,113Y06M
10018,新竹市,10018020,北區,95.14,2.46,22171.36,42.53,18.81,23.72,126.12,113Y06M
10018,新竹市,10018030,香山區,102.44,2.65,1440.95,35.83,14.97,20.86,139.37,113Y06M
10020,嘉義市,10020010,東區,90.58,2.52,12677.62,46.83,17.6,29.22,166,113Y06M
10020,嘉義市,10020020,西區,93.72,2.55,25467.55,43.88,18.31,25.58,139.7,113Y06M
9020,金門縣,9020010,金城鎮,98.6,3.2,1985.68,37.83,11.95,25.87,216.47,113Y06M
9020,金門縣,9020020,金沙鎮,96.2,3.1,503.06,36.63,8.5,28.13,330.95,113Y06M
9020,金門縣,9020030,金湖鎮,98.96,3.15,748.97,35.17,12.12,23.05,190.18,113Y06M
9020,金門縣,9020040,金寧鄉,99.32,3.34,1184.33,29.46,10.34,19.11,184.78,113Y06M
9020,金門縣,9020050,烈嶼鄉,97.22,3.82,790.48,34.05,7.51,26.53,353.17,113Y06M
9020,金門縣,9020060,烏坵鄉,108.6,5,545.83,27.93,12.89,15.04,116.67,113Y06M
9007,連江縣,9007010,南竿鄉,126.64,3.74,752.69,37.48,16.05,21.43,133.48,113Y06M
9007,連江縣,9007020,北竿鄉,134.33,3.27,309.6,30.82,10.71,20.1,187.65,113Y06M
9007,連江縣,9007030,莒光鄉,168.75,4.34,320.21,32.37,6.95,25.42,365.82,113Y06M
9007,連江縣,9007040,東引鄉,165.82,4.3,413.42,27.62,13.81,13.81,100,113Y06M
